Interface icons
===============

171 icons from game-icons.net, baked into client/src/ui/icons.ts by
tools/art/icons.mjs. Licensed CC BY 3.0 (some contributors release CC0); see
https://github.com/game-icons/icons/blob/master/license.txt for the per-author
terms.

Contributors whose work is used here:
  - cathelineau
  - darkzaitzev
  - delapouite
  - faithtoken
  - lorc
  - lucasms
  - sbed
  - skoll
  - willdabeast
  - zeromancer

Icon key -> source file:
  class-adventurer       lorc/hood.svg
  class-warrior          cathelineau/swordman.svg
  class-ranger           lorc/bowman.svg
  class-mage             delapouite/wizard-face.svg
  fist                   lorc/fist.svg
  sword                  lorc/broadsword.svg
  axe                    delapouite/war-axe.svg
  mace                   lorc/spiked-mace.svg
  dagger                 lorc/broad-dagger.svg
  bow                    delapouite/bow-arrow.svg
  staff                  lorc/wizard-staff.svg
  wand                   lorc/crystal-wand.svg
  attack-jab             delapouite/high-punch.svg
  attack-slash           lorc/sword-slice.svg
  attack-hew             delapouite/sharp-axe.svg
  attack-crush           lorc/mace-head.svg
  attack-stab            lorc/flying-dagger.svg
  attack-shoot           lorc/high-shot.svg
  attack-arcaneblast     delapouite/bolt-spell-cast.svg
  attack-zap             lorc/laser-blast.svg
  haymaker               lorc/fulguro-punch.svg
  cleave                 lorc/sword-spin.svg
  charge                 delapouite/charging-bull.svg
  warcry                 lorc/shouting.svg
  shieldwall             lorc/shield-reflect.svg
  earthshatter           lorc/earth-crack.svg
  powershot              lorc/charged-arrow.svg
  multishot              lorc/arrow-cluster.svg
  poisonarrow            lorc/poison-gas.svg
  disengage              delapouite/backward-time.svg
  rainofarrows           lorc/arrow-flights.svg
  arcanebolt             delapouite/bolt-spell-cast.svg
  firebolt               lorc/fireball.svg
  frostnova              delapouite/ice-spell-cast.svg
  mend                   delapouite/healing.svg
  chainlightning         lorc/lightning-arc.svg
  roar                   lorc/screaming.svg
  gutpunch               lorc/punch-blast.svg
  riposte                lorc/sword-clash.svg
  rend                   lorc/bleeding-wound.svg
  reckless               lorc/wide-arrow-dunk.svg
  shockwave              lorc/wave-strike.svg
  concuss                delapouite/knocked-out-stars.svg
  backstab               lorc/backstab.svg
  flurry                 lorc/tornado.svg
  frostbolt              lorc/frozen-arrow.svg
  arcanemissiles         lorc/star-swirl.svg
  grit                   lorc/muscle-up.svg
  footwork               lorc/boot-prints.svg
  calloused              lorc/mailed-fist.svg
  quickhands             lorc/quick-slash.svg
  secondwind             zeromancer/heart-plus.svg
  unbowed                lorc/edged-shield.svg
  edge                   delapouite/sharp-axe.svg
  temper                 lorc/anvil-impact.svg
  precision              lorc/target-arrows.svg
  momentum               skoll/spinning-top.svg
  mastery                delapouite/laurels-trophy.svg
  heft                   delapouite/weight-lifting-up.svg
  brutality              lorc/bloody-sword.svg
  thickskin              lorc/armor-vest.svg
  sweeping               lorc/wind-slap.svg
  bloodthirst            delapouite/vampire-dracula.svg
  weight                 sbed/weight-crush.svg
  bulwark                lorc/rosa-shield.svg
  stoneskin              lorc/stone-sphere.svg
  relentless             lorc/clockwork.svg
  crusher                sbed/crush.svg
  quick                  lorc/sprint.svg
  deadly                 skoll/bullseye.svg
  slippery               lorc/wingfoot.svg
  venom                  lorc/poison-bottle.svg
